Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2017-10-16,QQQ,148.85,147.5052,146.6112,0.894,0.5668
2017-10-17,QQQ,149.04,147.7842,146.8425,0.9417,0.6136
2017-10-18,QQQ,148.86,147.9798,147.0347,0.9452,0.6551
2017-10-19,QQQ,148.31,148.0399,147.1561,0.8837,0.6837
2017-10-20,QQQ,148.71,148.1617,147.3041,0.8576,0.7054
2017-10-23,QQQ,147.74,148.085,147.3456,0.7394,0.7096
2017-10-24,QQQ,147.99,148.0678,147.407,0.6608,0.7035
2017-10-25,QQQ,147.43,147.9518,147.4092,0.5426,0.6834
2017-10-26,QQQ,146.96,147.7715,147.3664,0.4051,0.6486
2017-10-27,QQQ,151.24,148.4021,147.7353,0.6668,0.6509
2017-10-30,QQQ,151.58,148.9799,148.1015,0.8784,0.6793
2017-10-31,QQQ,152.15,149.5563,148.4871,1.0692,0.7281
2017-11-01,QQQ,152.1,150.0188,148.8311,1.1876,0.7855
2017-11-02,QQQ,151.81,150.3445,149.1148,1.2296,0.841
2017-11-03,QQQ,153.27,150.8764,149.5106,1.3658,0.9066
2017-11-06,QQQ,153.79,151.4061,149.9181,1.488,0.9793
2017-11-07,QQQ,153.88,151.8559,150.2955,1.5605,1.0519
2017-11-08,QQQ,154.5,152.3367,150.6959,1.6408,1.1255
2017-11-09,QQQ,153.69,152.5827,150.981,1.6017,1.1851
2017-11-10,QQQ,153.68,152.7822,151.2381,1.5441,1.2299
2017-11-13,QQQ,153.87,152.98,151.4887,1.4913,1.2626
2017-11-14,QQQ,153.31,153.04,151.6622,1.3778,1.277
2017-11-15,QQQ,152.59,152.9582,151.7506,1.2076,1.2683
2017-11-16,QQQ,154.54,153.2458,152.0162,1.2296,1.2635
2017-11-17,QQQ,153.95,153.3738,152.2004,1.1734,1.2522
2017-11-20,QQQ,153.83,153.4568,152.3556,1.1012,1.2334
2017-11-21,QQQ,155.5,153.8283,152.6551,1.1732,1.2258
2017-11-22,QQQ,155.69,154.1668,152.9441,1.2227,1.2254
2017-11-24,QQQ,156.26,154.5474,153.2599,1.2874,1.2332
2017-11-27,QQQ,156.19,154.846,153.539,1.3071,1.2424
2017-11-28,QQQ,156.59,155.1631,153.8295,1.3336,1.2538
2017-11-29,QQQ,153.86,154.9262,153.8324,1.0937,1.2338
2017-11-30,QQQ,155.15,154.9669,153.9579,1.009,1.2057
2017-12-01,QQQ,154.49,154.8802,154.0086,0.8716,1.1639
2017-12-04,QQQ,152.71,154.4856,153.8849,0.6007,1.0935
2017-12-05,QQQ,152.81,154.1809,153.7825,0.3984,1.0066
2017-12-06,QQQ,153.5,154.0571,153.7556,0.3015,0.9185
2017-12-07,QQQ,154.02,154.0504,153.7808,0.2696,0.8374
2017-12-08,QQQ,154.7,154.1685,153.8684,0.3001,0.7702
2017-12-11,QQQ,155.9,154.4833,154.0618,0.4215,0.7266
2017-12-12,QQQ,155.69,154.7027,154.2169,0.4858,0.6965
2017-12-13,QQQ,155.99,154.9368,154.3858,0.551,0.6783
2017-12-14,QQQ,155.88,155.1083,154.5281,0.5802,0.6661
2017-12-15,QQQ,157.65,155.5704,154.8254,0.745,0.6759
2017-12-18,QQQ,158.64,156.1285,155.1887,0.9398,0.7089
2017-12-19,QQQ,157.7,156.4142,155.4279,0.9864,0.7436
2017-12-20,QQQ,157.53,156.6171,155.6281,0.989,0.7743
2017-12-21,QQQ,157.55,156.7867,155.8111,0.9756,0.7994
2017-12-22,QQQ,157.37,156.8928,155.9596,0.9332,0.8162
2017-12-26,QQQ,156.52,156.825,156.013,0.812,0.8156
2017-12-27,QQQ,156.54,156.7732,156.0631,0.71,0.8024
2017-12-28,QQQ,156.73,156.7653,156.1267,0.6387,0.782
2017-12-29,QQQ,155.76,156.5825,156.0917,0.4908,0.7456
2018-01-02,QQQ,158.49,156.9294,156.3201,0.6092,0.7285
2018-01-03,QQQ,160.03,157.4931,156.6735,0.8196,0.7399
2018-01-04,QQQ,160.31,158.0053,157.0198,0.9855,0.7706
2018-01-05,QQQ,161.92,158.717,157.4865,1.2306,0.8281
2018-01-08,QQQ,162.55,159.4139,157.9687,1.4452,0.9052
2018-01-09,QQQ,162.56,159.986,158.406,1.58,0.9896
2018-01-10,QQQ,162.18,160.3849,158.7654,1.6194,1.0683
2018-01-11,QQQ,163.29,160.9131,159.1963,1.7167,1.1494
2018-01-12,QQQ,164.49,161.5634,159.7005,1.8629,1.2386
2018-01-16,QQQ,164.02,162.0101,160.1119,1.8982,1.321
2018-01-17,QQQ,165.79,162.6973,160.6526,2.0447,1.4115
2018-01-18,QQQ,165.82,163.2651,161.1448,2.1203,1.5001
2018-01-19,QQQ,166.34,163.8242,161.6396,2.1846,1.5856
2018-01-22,QQQ,168.12,164.6052,162.2567,2.3485,1.681
2018-01-23,QQQ,169.51,165.497,162.9475,2.5495,1.7896
2018-01-24,QQQ,168.41,166.0266,163.4678,2.5589,1.8857
2018-01-25,QQQ,168.35,166.4491,163.9327,2.5163,1.9646
2018-01-26,QQQ,170.93,167.2638,164.5991,2.6646,2.0521
2018-01-29,QQQ,170.1,167.7795,165.123,2.6564,2.1276
2018-01-30,QQQ,168.7,167.9468,165.4637,2.4831,2.172
2018-01-31,QQQ,169.4,168.211,165.8386,2.3725,2.1971
2018-02-01,QQQ,167.96,168.1654,166.0406,2.1248,2.1881
2018-02-02,QQQ,164.61,167.519,165.9044,1.6146,2.1164
2018-02-05,QQQ,158.12,165.8101,165.163,0.6471,1.9327
2018-02-06,QQQ,162.31,165.1737,164.8913,0.2824,1.7264
2018-02-07,QQQ,160.21,164.2712,164.4455,-0.1743,1.4888
2018-02-08,QQQ,153.45,162.3037,163.3983,-1.0946,1.1659
2018-02-09,QQQ,156.1,161.1758,162.7032,-1.5274,0.8292
2018-02-12,QQQ,158.87,160.7565,162.3381,-1.5816,0.5279
2018-02-13,QQQ,159.69,160.5626,162.0859,-1.5233,0.2715
2018-02-14,QQQ,162.68,160.9476,162.1425,-1.1949,0.0882
